gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	direction	significance
MUCL3	-0.051132315906183	2.79500480709095	-0.517211837634731	0.614557689631642	0.890403534688129	-5.76741280802387	down_in_PH	not_FDR_significant
HAND1	-0.081532212437275	3.3629541897549	-0.517191410829108	0.61457234462892	0.890403534688129	-5.76742239717006	down_in_PH	not_FDR_significant
TSEN54	0.240116219940352	5.29830133863294	0.517243579555314	0.614582483050481	0.890403534688129	-5.7673534871569	up_in_PH	not_FDR_significant
KCNMA1	-0.695269778128458	7.03946835153626	-0.517062345575704	0.614731939294348	0.890527157053495	-5.76742042403686	down_in_PH	not_FDR_significant
ZNF606-AS1	-0.0826168029196239	2.75724391013168	-0.517028520312628	0.614748154294011	0.890527157053495	-5.76744382080367	down_in_PH	not_FDR_significant
AAK1	-0.832324920010416	6.39996568094004	-0.516866944089333	0.614864171142948	0.890637019465295	-5.76751956828407	down_in_PH	not_FDR_significant
INSRR	0.0684790561168698	3.23414704806101	0.516388311079936	0.615115997566022	0.890839412122242	-5.76782957880905	up_in_PH	not_FDR_significant
PSG7	0.0559731940628572	3.41539927666774	0.516376195422269	0.6151233722121	0.890839412122242	-5.76783649031307	up_in_PH	not_FDR_significant
FLJ20712	-0.0773234387907733	3.76552084537764	-0.516365007228258	0.615130947745065	0.890839412122242	-5.76784215845713	down_in_PH	not_FDR_significant
LINC00221	-0.0493715318644519	2.48472336828744	-0.516316473550778	0.615164639154064	0.890839412122242	-5.76786597196952	down_in_PH	not_FDR_significant
PIN1	-0.159285315205078	7.19520605681535	-0.516211985462852	0.615234563534633	0.890882474651234	-5.76791967034532	down_in_PH	not_FDR_significant
ZKSCAN5	0.159121055898003	3.97152104167298	0.516014770027848	0.615429505643894	0.891098140878246	-5.76796227337977	up_in_PH	not_FDR_significant
ZNF473	0.116591397531282	3.78161855358025	0.515890275351204	0.615463895479377	0.891098140878246	-5.76807186683066	up_in_PH	not_FDR_significant
ACY3	-0.0623994420505576	3.37517718895184	-0.515751545274764	0.615546394245544	0.89115938268255	-5.76815277045431	down_in_PH	not_FDR_significant
HIP1R	-0.347423949531292	8.18044303660094	-0.515648245248531	0.615689207189616	0.891195903712196	-5.76813711541772	down_in_PH	not_FDR_significant
ENTPD6	-0.265268431589272	8.53031686896541	-0.515430171756021	0.615804284484248	0.891195903712196	-5.76827787730246	down_in_PH	not_FDR_significant
LINC02616	0.0443628306112518	3.21440139083198	0.515357550959096	0.615813287212844	0.891195903712196	-5.76835207468499	up_in_PH	not_FDR_significant
ZNF516	-0.140874988290335	3.69769816061203	-0.515459364259592	0.615817125329485	0.891195903712196	-5.76823270219216	down_in_PH	not_FDR_significant
LINC00317	0.0473569036799431	2.8109351783636	0.515298091301164	0.615853570362742	0.891195903712196	-5.7683821400841	up_in_PH	not_FDR_significant
DTYMK	0.101089382344726	4.14663831629911	0.515290576394099	0.615858661708371	0.891195903712196	-5.76838593971397	up_in_PH	not_FDR_significant
RPS6KC1	-0.174950880667096	8.39260174772169	-0.51526311093669	0.615877269719387	0.891195903712196	-5.76839982613955	down_in_PH	not_FDR_significant
PPP2R1B	0.247016913900389	4.77403137830533	0.515346990968785	0.615893235513842	0.891195903712196	-5.76828955498497	up_in_PH	not_FDR_significant
HDAC7	0.130840317296161	5.77853715261921	0.515025692454884	0.616038133798887	0.891302796941672	-5.76851983458033	up_in_PH	not_FDR_significant
PUSL1	-0.122602255698997	3.83418790455256	-0.5150396766102	0.616047521415568	0.891302796941672	-5.76849518847436	down_in_PH	not_FDR_significant
ZFP90	0.121729573428023	7.57195390007819	0.514884602224169	0.6161337400761	0.891369363049467	-5.76859112680559	up_in_PH	not_FDR_significant
LINC01613	-0.0854364383902277	2.76232571487116	-0.514670650530319	0.616351418195804	0.891626092310401	-5.76863148518617	down_in_PH	not_FDR_significant
SLX4IP	-0.245792300254778	5.94205900528399	-0.514502447457006	0.616429964772416	0.89168153077161	-5.76874945616744	down_in_PH	not_FDR_significant
LRCH3	0.273725306415034	5.56608070448163	0.514424864560383	0.616517966344327	0.891750637995631	-5.76875563861447	up_in_PH	not_FDR_significant
EPHA1	0.0750678685959851	3.54437220561716	0.514182759364565	0.616609435855772	0.891792098473716	-5.76894548810917	up_in_PH	not_FDR_significant
ITGB8	0.452765033490183	5.06159042533257	0.514263844588988	0.616627087937799	0.891792098473716	-5.76883694371942	up_in_PH	not_FDR_significant
PTGES2	0.118703616212236	6.41557476786185	0.514020388342122	0.616719513807778	0.891816966244524	-5.76902740382802	up_in_PH	not_FDR_significant
NDUFS2	0.149461991283399	9.17511705490074	0.513877572669353	0.616816342446486	0.891816966244524	-5.76909943354911	up_in_PH	not_FDR_significant
DNPH1	0.0918046486448807	4.30569216763196	0.513705424010376	0.616933068791709	0.891816966244524	-5.76918623213913	up_in_PH	not_FDR_significant
SPINT2	-0.32183584688227	7.08108439697504	-0.513810346042922	0.616934470818947	0.891816966244524	-5.7690658020691	down_in_PH	not_FDR_significant
DPP4	-0.118111274120333	3.15295261013057	-0.513800399757154	0.61694121329804	0.891816966244524	-5.76907081931351	down_in_PH	not_FDR_significant
VRK2	0.344193859203616	6.70358115149759	0.513781377000703	0.616954108719892	0.891816966244524	-5.76908041478037	up_in_PH	not_FDR_significant
DEXI	-0.237500175116185	6.10194921345517	-0.513596179113629	0.61702622582912	0.891816966244524	-5.76922354553992	down_in_PH	not_FDR_significant
HLA-DOA	0.110348308256762	4.86008265177744	0.513554123279329	0.617035668127943	0.891816966244524	-5.7692624961699	up_in_PH	not_FDR_significant
CYP2A7	0.0599848194501398	2.42092682204422	0.513532955602216	0.617087370483611	0.891816966244524	-5.76923840831521	up_in_PH	not_FDR_significant
CYP2A7P1	0.0599848194501398	2.42092682204422	0.513532955602216	0.617087370483611	0.891816966244524	-5.76923840831521	up_in_PH	not_FDR_significant
SPSB4	-0.0994786757822501	3.42540463672175	-0.513406032367283	0.617154893941223	0.891816966244524	-5.76931963316066	down_in_PH	not_FDR_significant
SLC5A4	-0.0525603761156424	2.87218918483513	-0.513361832335113	0.61716607575986	0.891816966244524	-5.76935939066399	down_in_PH	not_FDR_significant
MTM1	-0.233719905783539	6.31802568749512	-0.513353387234358	0.617190596073166	0.891816966244524	-5.76934615985809	down_in_PH	not_FDR_significant
PIAS2	0.319451736504063	5.43021010092046	0.513389128973132	0.61722004131188	0.891816966244524	-5.76927819725563	up_in_PH	not_FDR_significant
DDIAS	0.0973913516588003	3.30323115469361	0.513276324046131	0.61724949480861	0.891816966244524	-5.76937881225085	up_in_PH	not_FDR_significant
NPIPB15	-0.301831151339185	4.81400642231144	-0.513229632606767	0.617328191403023	0.891816966244524	-5.76935857864873	down_in_PH	not_FDR_significant
PDXDC2P-NPIPB14P	-0.301831151339185	4.81400642231144	-0.513229632606767	0.617328191403023	0.891816966244524	-5.76935857864873	down_in_PH	not_FDR_significant
GLB1L	0.0779001980655658	3.66112059888527	0.513046774460959	0.617379770836931	0.891833361130789	-5.76951807207735	up_in_PH	not_FDR_significant
SARAF	-0.116520893886149	12.2286199990827	-0.512818432051492	0.617534672112714	0.891998997289023	-5.76963302052186	down_in_PH	not_FDR_significant
OR51J1	-0.0541162314663777	3.81117191724299	-0.512367094298252	0.617840903974975	0.892365625847818	-5.76986008219013	down_in_PH	not_FDR_significant
KLHL29	-0.587868203601714	5.68290586126278	-0.512432272860649	0.617868999961122	0.892365625847818	-5.76976006722735	down_in_PH	not_FDR_significant
MPIG6B	-0.0567162399661174	2.78551459656238	-0.51200839447831	0.618085155560633	0.892590566751016	-5.77003964037944	down_in_PH	not_FDR_significant
OR52A1	-0.0441445762668122	2.63452878091457	-0.5119775383255	0.618105277435711	0.892590566751016	-5.7700559090783	down_in_PH	not_FDR_significant
LOC105373334	0.199486701653707	5.79711649529375	0.511817623935569	0.618216378094768	0.892666842582208	-5.77013387915389	up_in_PH	not_FDR_significant
