sample	accession	title	internal_id	cell_type	source	patient	day	replicate	bio_id
ICHSeqBatch1g_B02	GSM4975999	Neutrophils from hematoma of ICH patient number 2379 on day 2 of study - replicate 1	ICHSeqBatch1g_B02	Neutrophil	Hematoma	2379	2	1	Neutrophil|Hematoma|2379|2
ICHSeqBatch1g_C09	GSM4976141	Neutrophils from blood of ICH patient number 2215 on day 5 of study - replicate 1	ICHSeqBatch1g_C09	Neutrophil	ICHBlood	2215	5	1	Neutrophil|ICHBlood|2215|5
ICHSeqBatch1g_C03	GSM4976111	Neutrophils from blood of ICH patient number 2385 on day 3 of study - replicate 2	ICHSeqBatch1g_C03	Neutrophil	ICHBlood	2385	3	2	Neutrophil|ICHBlood|2385|3
ICHSeqBatch1g_C01	GSM4976107	Neutrophils from blood of ICH patient number 2385 on day 2 of study - replicate 1	ICHSeqBatch1g_C01	Neutrophil	ICHBlood	2385	2	1	Neutrophil|ICHBlood|2385|2
ICHSeqBatch1g_C05	GSM4976130	Neutrophils from blood of ICH patient number 2215 on day 1 of study - replicate 1	ICHSeqBatch1g_C05	Neutrophil	ICHBlood	2215	1	1	Neutrophil|ICHBlood|2215|1
ICHSeqBatch1g_D06	GSM4976140	Neutrophils from hematoma of ICH patient number 2215 on day 4 of study - replicate 2	ICHSeqBatch1g_D06	Neutrophil	Hematoma	2215	4	2	Neutrophil|Hematoma|2215|4
ICHSeqBatch1g_B09	GSM4976112	Neutrophils from hematoma of ICH patient number 2385 on day 3 of study - replicate 1	ICHSeqBatch1g_B09	Neutrophil	Hematoma	2385	3	1	Neutrophil|Hematoma|2385|3
ICHSeqBatch1g_C10	GSM4976134	Neutrophils from blood of ICH patient number 2215 on day 2 of study - replicate 2	ICHSeqBatch1g_C10	Neutrophil	ICHBlood	2215	2	2	Neutrophil|ICHBlood|2215|2
ICHSeqBatch1g_C06	GSM4976133	Neutrophils from blood of ICH patient number 2215 on day 2 of study - replicate 1	ICHSeqBatch1g_C06	Neutrophil	ICHBlood	2215	2	1	Neutrophil|ICHBlood|2215|2
ICHSeqBatch1g_A04	GSM4976005	Neutrophils from blood of ICH patient number 2379 on day 4 of study - replicate 1	ICHSeqBatch1g_A04	Neutrophil	ICHBlood	2379	4	1	Neutrophil|ICHBlood|2379|4
ICHSeqBatch1g_D07	GSM4976143	Neutrophils from hematoma of ICH patient number 2215 on day 5 of study - replicate 2	ICHSeqBatch1g_D07	Neutrophil	Hematoma	2215	5	2	Neutrophil|Hematoma|2215|5
ICHSeqBatch1g_C07	GSM4976136	Neutrophils from blood of ICH patient number 2215 on day 3 of study - replicate 1	ICHSeqBatch1g_C07	Neutrophil	ICHBlood	2215	3	1	Neutrophil|ICHBlood|2215|3
ICHseqBatch2g_B11	GSM4976090	Neutrophils from hematoma of ICH patient number 2421 on day 3 of study - replicate 2	ICHseqBatch2g_B11	Neutrophil	Hematoma	2421	3	2	Neutrophil|Hematoma|2421|3
ICHseqBatch2g_A05	GSM4975969	Neutrophils from hematoma of ICH patient number 2375 on day 3 of study - replicate 1	ICHseqBatch2g_A05	Neutrophil	Hematoma	2375	3	1	Neutrophil|Hematoma|2375|3
ICHseqBatch2g_B05	GSM4976082	Neutrophils from hematoma of ICH patient number 2421 on day 1 of study - replicate 1	ICHseqBatch2g_B05	Neutrophil	Hematoma	2421	1	1	Neutrophil|Hematoma|2421|1
ICHseqBatch2g_D04	GSM4976117	Neutrophils from blood of ICH patient number 2129 on day 2 of study - replicate 1	ICHseqBatch2g_D04	Neutrophil	ICHBlood	2129	2	1	Neutrophil|ICHBlood|2129|2
ICHseqBatch2g_C10	GSM4976122	Neutrophils from hematoma of ICH patient number 2129 on day 3 of study - replicate 1	ICHseqBatch2g_C10	Neutrophil	Hematoma	2129	3	1	Neutrophil|Hematoma|2129|3
ICHseqBatch2g_D06	GSM4976124	Neutrophils from blood of ICH patient number 2129 on day 4 of study - replicate 1	ICHseqBatch2g_D06	Neutrophil	ICHBlood	2129	4	1	Neutrophil|ICHBlood|2129|4
ICHseqBatch2g_A06	GSM4975970	Neutrophils from hematoma of ICH patient number 2375 on day 3 of study - replicate 2	ICHseqBatch2g_A06	Neutrophil	Hematoma	2375	3	2	Neutrophil|Hematoma|2375|3
ICHseqBatch2g_B01	GSM4975971	Neutrophils from blood of ICH patient number 2375 on day 4 of study - replicate 1	ICHseqBatch2g_B01	Neutrophil	ICHBlood	2375	4	1	Neutrophil|ICHBlood|2375|4
ICHseqBatch2g_C07	GSM4976092	Neutrophils from blood of ICH patient number 2421 on day 4 of study - replicate 2	ICHseqBatch2g_C07	Neutrophil	ICHBlood	2421	4	2	Neutrophil|ICHBlood|2421|4
ICHseqBatch2g_B03	GSM4975968	Neutrophils from blood of ICH patient number 2375 on day 3 of study - replicate 2	ICHseqBatch2g_B03	Neutrophil	ICHBlood	2375	3	2	Neutrophil|ICHBlood|2375|3
ICHseqBatch2g_B02	GSM4975975	Neutrophils from blood of ICH patient number 2375 on day 5 of study - replicate 1	ICHseqBatch2g_B02	Neutrophil	ICHBlood	2375	5	1	Neutrophil|ICHBlood|2375|5
ICHseqBatch2g_C05	GSM4976094	Neutrophils from blood of ICH patient number 2421 on day 5 of study - replicate 1	ICHseqBatch2g_C05	Neutrophil	ICHBlood	2421	5	1	Neutrophil|ICHBlood|2421|5
ICHseqBatch2g_C01	GSM4976081	Neutrophils from blood of ICH patient number 2421 on day 1 of study - replicate 1	ICHseqBatch2g_C01	Neutrophil	ICHBlood	2421	1	1	Neutrophil|ICHBlood|2421|1
ICHseqBatch2g_D02	GSM4976128	Neutrophils from hematoma of ICH patient number 2129 on day 5 of study - replicate 1	ICHseqBatch2g_D02	Neutrophil	Hematoma	2129	5	1	Neutrophil|Hematoma|2129|5
ICHseqBatch2g_B09	GSM4976083	Neutrophils from hematoma of ICH patient number 2421 on day 1 of study - replicate 2	ICHseqBatch2g_B09	Neutrophil	Hematoma	2421	1	2	Neutrophil|Hematoma|2421|1
ICHseqBatch2g_C09	GSM4976119	Neutrophils from hematoma of ICH patient number 2129 on day 2 of study - replicate 2	ICHseqBatch2g_C09	Neutrophil	Hematoma	2129	2	2	Neutrophil|Hematoma|2129|2
ICHseqBatch2g_D05	GSM4976120	Neutrophils from blood of ICH patient number 2129 on day 3 of study - replicate 1	ICHseqBatch2g_D05	Neutrophil	ICHBlood	2129	3	1	Neutrophil|ICHBlood|2129|3
ICHseqBatch2g_C03	GSM4976087	Neutrophils from blood of ICH patient number 2421 on day 3 of study - replicate 1	ICHseqBatch2g_C03	Neutrophil	ICHBlood	2421	3	1	Neutrophil|ICHBlood|2421|3
ICHseqBatch2g_B04	GSM4975972	Neutrophils from blood of ICH patient number 2375 on day 4 of study - replicate 2	ICHseqBatch2g_B04	Neutrophil	ICHBlood	2375	4	2	Neutrophil|ICHBlood|2375|4
ICHseqBatch2g_C02	GSM4976084	Neutrophils from blood of ICH patient number 2421 on day 2 of study - replicate 1	ICHseqBatch2g_C02	Neutrophil	ICHBlood	2421	2	1	Neutrophil|ICHBlood|2421|2
ICHseqBatch2g_B07	GSM4976089	Neutrophils from hematoma of ICH patient number 2421 on day 3 of study - replicate 1	ICHseqBatch2g_B07	Neutrophil	Hematoma	2421	3	1	Neutrophil|Hematoma|2421|3
