gene	logFC_discovery	FDR_discovery	logFC_validation	FDR_validation	concordant	max_FDR_across_cohorts
LRIG2	-1.07944249871194	0.366656895006247	-0.551036530909198	0.058430820230497	TRUE	0.366656895006247
LRP1	-0.139322707327572	0.888623247827229	-0.0147068193612352	0.882122020652948	TRUE	0.888623247827229
LRP10	-0.264658062263484	0.831159753658177	-0.641365960777185	0.0000000000930583813395299	TRUE	0.831159753658177
LRP12	-0.814252873491874	0.647215705990321	1.29019677844916	0.000000952934960204975	FALSE	0.647215705990321
LRP3	-0.277578282134775	0.904597491631871	-1.3233263819813	0.00000000261250906307124	TRUE	0.904597491631871
LRP5L	0.395358813873166	0.599123599581563	1.21071305661167	0.0000259740360721605	TRUE	0.599123599581563
LRP8	-0.987182868567864	0.685884677062274	-0.80087870998048	0.000162161631869573	TRUE	0.685884677062274
LRPAP1	-0.625978685831066	0.803145514720013	0.0750409522406628	0.273858638189254	FALSE	0.803145514720013
LRPPRC	-0.526546140795989	0.782417264221963	-0.303483058884175	0.0257985091691184	TRUE	0.782417264221963
LRR1	0.385447509677899	0.67839223992435	-0.126790364069556	0.645114238285876	FALSE	0.67839223992435
LRRC14	-0.401491034685932	0.471278670460819	-0.433422331967501	0.0814889478168258	TRUE	0.471278670460819
LRRC2	-0.924699932334745	0.672505728726622	0.602358488936021	0.0000598964642394174	FALSE	0.672505728726622
LRRC23	-0.0746402487863982	0.939827399598787	-0.651383806623388	0.00100018833445086	TRUE	0.939827399598787
LRRC25	0.284790352285742	0.644728962996128	-0.601115081214624	0.0000000000000000000811409581422235	FALSE	0.644728962996128
LRRC27	-0.480767658953831	0.435590342210874	-0.0369075392858891	0.705758206405429	TRUE	0.705758206405429
LRRC28	-0.400663208776971	0.657858264473692	-0.928128908705758	0.0000230350393522187	TRUE	0.657858264473692
LRRC32	0.742135759668535	0.509513362026662	0.751140000352256	0.0109632905126665	TRUE	0.509513362026662
LRRC37A	-0.0273427653153542	0.976240205882419	-1.32856718346786	0.00000186280506646016	TRUE	0.976240205882419
LRRC37A2	0.693669336678682	0.584402445398282	-1.18584572243203	0.0000000000392975372417098	FALSE	0.584402445398282
LRRC37A3	0.0101768198829726	0.994436054344592	-1.16171195655123	0.00000561882939483925	FALSE	0.994436054344592
LRRC37A4P	-0.0273427653153542	0.976240205882419	-1.13948651202827	0.00000000000000000100044721841012	TRUE	0.976240205882419
LRRC37B	-0.449401689958735	0.508189880658223	-1.02877245432735	0.000409657755400076	TRUE	0.508189880658223
LRRC37BP1	-0.48828490842042	0.363550893273011	0.0744101017966345	0.489409711899141	FALSE	0.489409711899141
LRRC4	-0.819633174067452	0.554031149384146	-0.451713139702619	0.0194479118024922	TRUE	0.554031149384146
LRRC40	-0.195586208213659	0.923665858744999	-0.279994793572319	0.213643302851978	TRUE	0.923665858744999
LRRC41	-0.14449670572301	0.912933921873881	-0.270306102799314	0.126122201357141	TRUE	0.912933921873881
LRRC42	0.288407837449872	0.734668048261698	-0.258748533485585	0.273441274414929	FALSE	0.734668048261698
LRRC45	-0.051429080873131	0.931150634303851	-1.10069841275624	0.0000000121151694981518	TRUE	0.931150634303851
LRRC47	-0.548501474898615	0.341878079475612	-0.184922101585213	0.261226419122005	TRUE	0.341878079475612
LRRC57	-0.542257065030356	0.437288145203384	-0.242290417519367	0.00168848313905073	TRUE	0.437288145203384
LRRC58	-0.401799567242958	0.711434677328215	0.282178004578247	0.000313654111737075	FALSE	0.711434677328215
