gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	direction
SKI	1.6825762252159	2.64492086315525	9.97140280256584	0.0000000000000000000397981464981288	0.000000000000000000348926606734851	34.9118271999757	up_in_hematoma
AGFG1	1.33079007613012	4.83221420468475	9.96931323904636	0.0000000000000000000404138406669076	0.000000000000000000354070470634823	34.6292256179792	up_in_hematoma
USP16	0.899918778213644	4.50434932157401	9.96542486427871	0.0000000000000000000412825116236745	0.000000000000000000361421730795654	34.6198917574228	up_in_hematoma
SLC16A5	-1.30109090896048	4.81155720020905	-9.96145766836583	0.0000000000000000000428143930704545	0.000000000000000000374564600694456	34.6188137291283	down_in_hematoma
BUD31	0.530302668786384	6.47929682240625	9.95349507268157	0.0000000000000000000450117681696699	0.00000000000000000039350660318982	34.2561899387056	up_in_hematoma
RPS6KA5	-2.20256080580126	2.82876085999175	-9.953529749335	0.0000000000000000000453807237298172	0.000000000000000000396448339708338	34.8054805433882	down_in_hematoma
LOC338758	0.967499558264263	7.581789394113	9.95072746337215	0.0000000000000000000463239518750624	0.000000000000000000404399159578368	34.0859860460721	up_in_hematoma
RPS16	0.760818062622161	6.43572414896475	9.94427440166154	0.0000000000000000000485707574944586	0.000000000000000000423710472342731	34.1069862182056	up_in_hematoma
TAPBP	-0.601455151353854	9.65286115468544	-9.94225795273175	0.0000000000000000000492948036727915	0.000000000000000000429719798184013	33.869993916275	down_in_hematoma
SLC39A8	2.10899468016545	1.85994970788496	9.94181576656312	0.0000000000000000000494550080435061	0.000000000000000000430808853948174	34.6119538404336	up_in_hematoma
GADD45G	1.84507421277644	2.76440436004722	9.94158511120053	0.0000000000000000000495387799120226	0.000000000000000000431231018578426	34.6759784948629	up_in_hematoma
HES1	2.27555753211152	-0.241233083760415	9.94140834602033	0.0000000000000000000496030748182824	0.000000000000000000431483157233392	34.7810096134218	up_in_hematoma
NUP210	-1.70499548121658	0.939221721408386	-9.94039390943717	0.0000000000000000000499736634954188	0.000000000000000000434397403750569	34.6068798585417	down_in_hematoma
DERL2	0.599315485397161	5.26216974877572	9.93668197901083	0.0000000000000000000509251474594719	0.000000000000000000442353361253578	34.315913694293	up_in_hematoma
INHBA	2.87450680266909	-1.54096156964324	9.93584824131988	0.0000000000000000000516683457632652	0.000000000000000000448490054589025	34.7512430644886	up_in_hematoma
LXN	-2.30454405128071	2.01145242254218	-9.9302573095631	0.0000000000000000000538312309466647	0.000000000000000000466932403090637	34.6692217538668	down_in_hematoma
LOC643837	1.90175221383431	1.88208819151743	9.92799457031363	0.0000000000000000000547319521634538	0.000000000000000000474408326311044	34.4618676903332	up_in_hematoma
PARVG	-0.589664499272724	7.35304669241553	-9.92739316887187	0.0000000000000000000547848948727551	0.000000000000000000474530440482949	33.940154297169	down_in_hematoma
HNRNPM	0.823018007574286	6.17848768219977	9.92587984254946	0.0000000000000000000555872903110424	0.000000000000000000481139317199689	34.0205524946711	up_in_hematoma
VPS45	-1.46363033140974	1.09629747357996	-9.92346056995873	0.000000000000000000056582110533799	0.000000000000000000489403198264368	34.3791889165423	down_in_hematoma
FOSL1	1.7222384972511	3.8462265305777	9.92222492431649	0.0000000000000000000570970225286087	0.000000000000000000493507385804598	34.3810992839692	up_in_hematoma
PDXK	0.99605582059212	5.4907911890001	9.91968605798174	0.0000000000000000000581696668032717	0.000000000000000000502423013202516	34.1144366367831	up_in_hematoma
CD226	2.50728038830558	-2.26353754223978	9.91775426631239	0.00000000000000000005899922427153	0.000000000000000000509227933588831	34.6321312110597	up_in_hematoma
STAT1	-0.945439916172759	7.04876830296295	-9.91732415946098	0.0000000000000000000591855168514651	0.000000000000000000510475082843886	33.9499952163369	down_in_hematoma
RPH3A	-2.71102214718004	3.38994166614428	-9.91667498554417	0.0000000000000000000594678018361384	0.000000000000000000512547822035821	34.4417069457091	down_in_hematoma
CTAGE5	-0.836264479442901	5.7495341971602	-9.9156607700169	0.0000000000000000000599115011426431	0.000000000000000000516007872676375	34.1358845957742	down_in_hematoma
PPP4C	0.660556680411955	6.07454792571479	9.91437828586903	0.0000000000000000000599776227801738	0.000000000000000000516213324182004	34.0419490332671	up_in_hematoma
SNX17	-1.18385032249638	5.52898198570453	-9.91404146111118	0.0000000000000000000606267469132838	0.000000000000000000521432718346433	34.0185782689461	down_in_hematoma
ERICH1	-0.878907962524456	4.81428174050267	-9.90950106953543	0.000000000000000000062226013732322	0.000000000000000000534810911831702	34.2147302691747	down_in_hematoma
NRBF2	-0.75780925514313	6.76624869394746	-9.90802209965535	0.0000000000000000000633606875907338	0.000000000000000000544180082662188	33.9835305375123	down_in_hematoma
GNA12	1.78389482706879	0.215991149070903	9.90438320632206	0.0000000000000000000650725075377651	0.000000000000000000558489483175492	34.435176179814	up_in_hematoma
LOC100505761	1.6441510491255	0.668135521304294	9.89906094571904	0.0000000000000000000675088711177238	0.000000000000000000578992867247725	34.43074275329	up_in_hematoma
IRF5	-1.04158733994067	4.7468747058319	-9.89913712033176	0.0000000000000000000676215906529404	0.000000000000000000579552622206569	33.9673921896353	down_in_hematoma
GPER	-2.59589787052648	-0.577462558389951	-9.89683604227517	0.0000000000000000000687707698374048	0.000000000000000000588988367478418	34.4323960995658	down_in_hematoma
